,United States,New Mexico,"Albuquerque, NM","Las Cruces, NM","Santa Fe, NM","Farmington, NM","Gallup, NM","Hobbs, NM","Alamogordo, NM","Roswell, NM","Carlsbad, NM","Clovis, NM","Espa-¦ola, NM","Taos, NM","Las Vegas, NM","Silver City, NM","Grants, NM","Deming, NM","Portales, NM","Los Alamos, NM"
6/30/12,157437.77003179883,159463.03771497888,161578.0436585082,166760.3695651593,266846.15915773174,149020.16889219778,147557.0876925061,,,100570.06172973104,,,183627.1550294794,269696.0387882181,158865.80327828415,,,146787.6567330413,134089.23763125876,275799.9154847353
7/31/12,157987.34737598218,159680.1843532206,161264.44149180234,167247.15899528572,267486.45891855395,149506.14431371607,148475.42598623523,,,100509.99941814522,,,183576.1087225872,271212.5891222209,158673.01165903098,122133.9605135195,,143454.8363115428,133738.83440441903,276272.96564343467
8/31/12,158456.63672764844,159710.1402355367,161019.82332155728,167295.33949325405,267984.5317234781,150234.15914187403,148956.8392657256,,,100209.2692944978,,,182608.1611009395,272409.0820827721,156396.1011577243,122751.21152816805,,141007.39318714183,132972.27856307477,276499.8519335959
9/30/12,158996.66518969103,159785.3584163092,160839.57875077962,166837.38753181466,268481.68101485004,151290.95031010965,148479.65011430316,,,99838.81459407664,,,183909.0633120005,274483.1473450346,154019.61098529096,122766.23097871854,,138372.69896065022,132027.86529124712,276646.9088336847
10/31/12,159584.0674494034,159890.83858016165,160862.00097785494,166082.14709780848,269054.2008828818,152713.49567963468,148019.18401982656,,,99214.27218282151,,,185476.9734215408,275309.04871013545,151520.17836378762,123138.63155637577,,135872.2034819565,131322.46631068573,275950.44043180277
11/30/12,160283.25060772675,160313.75790936238,161234.4156544631,165587.60184870206,270285.1321074081,153878.67070731087,147472.96653035365,,,98734.58701856056,,,188807.8784360047,274870.7375916263,151679.2589312617,123075.45207006978,,133290.3030453048,130263.67454884911,275143.3505882874
12/31/12,161010.1082957501,160851.79350253296,161774.00035858704,165222.80123410092,271596.69484662614,155120.1464095056,147168.32481788655,,,98833.49462980668,,,191290.09916638673,274116.9891,152675.6298496794,123398.71228446196,,131755.42893384796,129691.84084149712,274837.8094108023
1/31/13,161831.92637486552,161097.1053351398,162286.80081561118,164871.03650959267,271854.15024745447,154922.13145034504,146534.65241236045,,,98824.62523525055,,,193610.45648339376,275461.84530439466,153942.39695119005,123705.93540711002,,130530.17259119956,128888.1822794609,274891.8747903123
2/28/13,162714.9235320382,160936.36062888784,162753.2838020362,164325.9066466085,270912.30146729125,154001.9990293254,145999.24768974105,,,98258.76863864076,,,192194.56038665553,277618.4659531724,152286.60639051837,123674.45150534944,,128685.7819771159,127962.14041399618,274909.1484407471
3/31/13,163639.78298405354,160769.12517536685,163295.3966666706,163853.1825305069,270013.3285352877,153173.01103719487,145619.02586733847,164464.30058687314,,97683.42674855787,,,189626.97176496405,280446.5482857909,150764.83248486937,123918.2845,,126248.47569261804,126828.39848427803,274152.1246778274
4/30/13,164650.2836523363,160834.49780411206,163842.63651188475,163399.4422208496,270264.69656329806,153666.64863964377,145716.83857980545,166472.4040820659,,97103.99844981894,,,187709.18060562355,283701.1765025061,149704.27972929573,123779.32657626957,,123397.3942011472,125888.6706149896,273291.64020664647
5/31/13,165836.00469054093,161250.63815624372,164318.95623926722,163580.70006697302,272163.67266024154,154842.79424185204,146507.2502147001,167626.27924851386,,97105.47384795068,,,187766.90029683092,286678.76764704706,150536.34252478575,123761.2629902067,,121305.9264863496,125329.77021140752,272471.1063349639
6/30/13,167155.7011830981,161651.11179360255,164694.23755934474,164353.8747455743,274606.95825177524,154950.97389923397,147754.8018667011,170277.13833322978,,97339.03904124524,,,188284.2811193264,288887.59833154536,151670.71500981884,123835.2071382448,,120831.64663459314,125551.35664235469,272367.9097252786
7/31/13,168353.0376688681,161715.76912427988,164803.4123227485,164980.08870093853,276421.4457323137,153386.93737400972,148630.68490633697,171056.05751546109,,98042.09258517092,,,187768.67424334437,289441.4343263922,152305.96463057495,124102.07028748236,,121772.02565534315,126474.12461990675,272689.8998927363
8/31/13,169520.44464675765,161746.6940972521,164952.3250322158,165262.52738529732,277815.16322605946,152245.14703624762,148890.53844083566,171885.55318378264,,98973.15258399933,,,187527.0248190332,292065.54342840466,153304.21608017053,125061.48079666164,,123720.75500939018,129053.3724635352,273294.0109741661
9/30/13,170567.24750001394,161638.15527472566,164921.81012891795,164855.21160326363,278440.9573543078,151985.5111933957,148678.52040553885,172685.53107996294,,99698.72369539294,,,187795.02453990013,295681.07207693555,154322.06390395528,125484.1126449642,,126345.65516973322,131457.4232793851,273529.8666264518
10/31/13,171731.98040277098,161645.80405906905,164944.36956497448,164476.92356593814,278707.32723891875,153111.55543256606,148142.26660074305,175021.6494,,99903.27628,,,187901.90032363476,298554.06235133513,155741.90482389784,125393.79223311428,,127677.88921732684,133136.44251589142,273017.9043540884
11/30/13,172675.00420645662,161466.86558712213,164810.68884019495,163936.50765009117,278134.5355273306,154011.36116309615,147507.3175285257,177344.66665084535,,99930.48768,,,186192.9213880923,299118.2615939318,155478.27907005852,124695.25173291971,,128821.95994815364,132859.54366240327,271873.67236792087
12/31/13,173550.16824291405,161382.9196939453,164847.73961409996,163491.96295784155,277820.7474296962,154845.18759206685,146996.53389931365,180145.02031289355,,100042.31884348798,,,182854.49064148185,298399.0285740169,153764.1724893716,123836.56348278922,,127897.38081854342,131667.97195437562,270790.22393061215
1/31/14,174314.5476300842,161690.75125346318,165117.22197796786,163191.43191414513,278230.9146517014,155240.0943969531,147225.07528049874,183490.1127135319,,100851.48683423286,,,183436.1846638911,297857.4016558474,152577.94196156043,124218.9991638902,,128436.07241581184,130777.92381097285,269738.8462704576
2/28/14,175130.57332133545,162255.55085847445,165631.91690605902,162671.00179410886,279483.0619959456,154974.35617824408,148096.1841,187720.19167098645,,101866.1321695776,,,187524.57511741467,297592.1088497257,152881.28363531656,124796.22208582854,,128980.16615596936,130091.78447683388,268787.91176556365
3/31/14,175946.1012560738,162803.5350644624,166159.93890636085,161936.72610359974,281080.3427058144,154267.23528139576,148906.85811940298,190670.42209759736,,102236.38773065452,,,192742.1121936162,295903.5653513088,153207.59309278574,125917.84138255336,,130608.18891617365,129768.35836838966,267819.38680224057
4/30/14,176759.97609445857,163163.1575784485,166722.95353754476,161380.49715381672,282677.9562619484,153956.16516278483,149593.18235062077,192397.59330288577,,101967.03400630876,,,194788.7598135602,293066.2103588197,152058.07567845765,126271.23505638471,,131550.6848897801,129659.31389419576,266690.39176393446
5/31/14,177698.223,163702.67350571134,167341.0829728468,161733.19375439282,285102.27137567644,154817.7012009149,150201.51754671187,192474.82130369253,,101014.5859544726,,,195731.3338145044,290822.39014157956,150759.66638797932,126537.6220832605,,131521.29901884435,130013.58399571029,266231.5649017659
