,United States,"Albuquerque, NM","Las Cruces, NM","Santa Fe, NM","Farmington, NM"
2022-12-31,86910.16030434653,77728.32034692269,63828.01415963898,122245.35825944351,54076.95505387779
2023-01-31,86183.80663209608,77615.51490585788,63426.84122142193,120964.28351138056,53479.66086080489
2023-02-28,85876.83938245881,77535.5232471226,63774.35172417239,120804.86191599272,53493.30851713199
2023-03-31,87907.17870814934,79553.45105808345,65839.05211815286,124055.375648927,54991.18905161249
2023-04-30,86737.56830054004,78704.24203231838,65368.908086839365,122529.06968644651,54409.380109849175
2023-05-31,87774.52817849885,79860.3881570684,66494.18749643216,124330.83673913869,55170.85003146577
2023-06-30,90364.87008808753,82393.01403947579,68838.96312402278,128625.37938036952,56821.98999491029
2023-07-31,91725.26619163668,83855.70825491796,70080.19767668741,130838.32636770877,57639.91327266198
2023-08-31,93845.44540709187,86032.3462812996,71847.52408554623,134044.30987111994,58871.62828964172
2023-09-30,95238.15888784704,87589.71962990759,72939.66765765238,135822.45838280208,59725.245050257705
2023-10-31,98637.8153956288,90961.3806791334,75645.7349589108,140847.721827211,62035.15467572948
2023-11-30,97543.14635974837,90149.8562001868,74724.6564289234,139000.06702841524,61530.622918500994
2023-12-31,92985.13334188984,86098.95619740916,70911.48466893492,131929.34362602793,58782.878712432466
2024-01-31,92005.95381467232,83513.96666459419,69737.85663086257,129902.62975369958,58153.21439426696
2024-02-29,93230.60470412548,84734.457383342,70414.26361388706,131354.14835771063,59040.50712011653
2024-03-31,93987.20372334858,85505.48425893014,70930.6265745047,132341.81751512818,59602.97962023596
2024-04-30,95848.49082398228,87259.34422969568,72370.01230603603,135236.99480319896,60860.88462512842
2024-05-31,96745.10398698998,88087.10295009273,73117.88592917904,136846.09933575976,61473.99885996932
2024-06-30,95815.40986385792,87149.22791600275,72377.32290738843,135379.0892146511,60858.99158634008
2024-07-31,95340.16800407448,86667.0145789949,71990.08717540727,134397.25926583222,60661.00165644144
2024-08-31,92804.24515498674,84318.83494771054,70029.8950372097,130291.53084436874,59233.14218182202
2024-09-30,90796.1758050894,82576.84445044967,68533.67432897765,127058.8008820837,58156.38780528441
2024-10-31,92765.79831273752,84527.0336952621,70147.7764594579,130068.17067310282,59749.45393303123
2024-11-30,95710.52153186862,87413.15323663403,72436.02660684392,134490.40949582128,61987.44375799608
2024-12-31,95212.65500660749,87062.91842885422,71933.80976124134,133576.53839993288,62040.57863856375
2025-01-31,92538.23793291143,89113.62279015548,73390.93761584531,136345.01169923993,63679.225543498775
